time ~/seamc castle-20.tif OUT-castle-20.tif -143
0.000000 sec this iteration (760)
0.000000 sec this iteration (759)
0.000000 sec this iteration (758)
0.000000 sec this iteration (757)
0.000000 sec this iteration (756)
0.000000 sec this iteration (755)
0.000000 sec this iteration (754)
0.000000 sec this iteration (753)
0.000000 sec this iteration (752)
0.000000 sec this iteration (751)
0.000000 sec this iteration (750)
0.000000 sec this iteration (749)
0.000000 sec this iteration (748)
0.000000 sec this iteration (747)
0.000000 sec this iteration (746)
1.000000 sec this iteration (745)
0.000000 sec this iteration (744)
0.000000 sec this iteration (743)
0.000000 sec this iteration (742)
0.000000 sec this iteration (741)
0.000000 sec this iteration (740)
0.000000 sec this iteration (739)
0.000000 sec this iteration (738)
0.000000 sec this iteration (737)
0.000000 sec this iteration (736)
0.000000 sec this iteration (735)
0.000000 sec this iteration (734)
0.000000 sec this iteration (733)
0.000000 sec this iteration (732)
0.000000 sec this iteration (731)
0.000000 sec this iteration (730)
0.000000 sec this iteration (729)
0.000000 sec this iteration (728)
0.000000 sec this iteration (727)
0.000000 sec this iteration (726)
0.000000 sec this iteration (725)
1.000000 sec this iteration (724)
0.000000 sec this iteration (723)
0.000000 sec this iteration (722)
0.000000 sec this iteration (721)
0.000000 sec this iteration (720)
0.000000 sec this iteration (719)
0.000000 sec this iteration (718)
0.000000 sec this iteration (717)
0.000000 sec this iteration (716)
0.000000 sec this iteration (715)
0.000000 sec this iteration (714)
0.000000 sec this iteration (713)
0.000000 sec this iteration (712)
0.000000 sec this iteration (711)
0.000000 sec this iteration (710)
0.000000 sec this iteration (709)
0.000000 sec this iteration (708)
0.000000 sec this iteration (707)
0.000000 sec this iteration (706)
0.000000 sec this iteration (705)
0.000000 sec this iteration (704)
0.000000 sec this iteration (703)
1.000000 sec this iteration (702)
0.000000 sec this iteration (701)
0.000000 sec this iteration (700)
0.000000 sec this iteration (699)
0.000000 sec this iteration (698)
0.000000 sec this iteration (697)
0.000000 sec this iteration (696)
0.000000 sec this iteration (695)
0.000000 sec this iteration (694)
0.000000 sec this iteration (693)
0.000000 sec this iteration (692)
0.000000 sec this iteration (691)
0.000000 sec this iteration (690)
0.000000 sec this iteration (689)
0.000000 sec this iteration (688)
0.000000 sec this iteration (687)
0.000000 sec this iteration (686)
0.000000 sec this iteration (685)
0.000000 sec this iteration (684)
0.000000 sec this iteration (683)
0.000000 sec this iteration (682)
0.000000 sec this iteration (681)
1.000000 sec this iteration (680)
0.000000 sec this iteration (679)
0.000000 sec this iteration (678)
0.000000 sec this iteration (677)
0.000000 sec this iteration (676)
0.000000 sec this iteration (675)
0.000000 sec this iteration (674)
0.000000 sec this iteration (673)
0.000000 sec this iteration (672)
0.000000 sec this iteration (671)
0.000000 sec this iteration (670)
0.000000 sec this iteration (669)
0.000000 sec this iteration (668)
0.000000 sec this iteration (667)
0.000000 sec this iteration (666)
0.000000 sec this iteration (665)
0.000000 sec this iteration (664)
0.000000 sec this iteration (663)
0.000000 sec this iteration (662)
0.000000 sec this iteration (661)
0.000000 sec this iteration (660)
0.000000 sec this iteration (659)
0.000000 sec this iteration (658)
1.000000 sec this iteration (657)
0.000000 sec this iteration (656)
0.000000 sec this iteration (655)
0.000000 sec this iteration (654)
0.000000 sec this iteration (653)
0.000000 sec this iteration (652)
0.000000 sec this iteration (651)
0.000000 sec this iteration (650)
0.000000 sec this iteration (649)
0.000000 sec this iteration (648)
0.000000 sec this iteration (647)
0.000000 sec this iteration (646)
0.000000 sec this iteration (645)
0.000000 sec this iteration (644)
0.000000 sec this iteration (643)
0.000000 sec this iteration (642)
0.000000 sec this iteration (641)
0.000000 sec this iteration (640)
0.000000 sec this iteration (639)
0.000000 sec this iteration (638)
0.000000 sec this iteration (637)
0.000000 sec this iteration (636)
0.000000 sec this iteration (635)
0.000000 sec this iteration (634)
1.000000 sec this iteration (633)
0.000000 sec this iteration (632)
0.000000 sec this iteration (631)
0.000000 sec this iteration (630)
0.000000 sec this iteration (629)
0.000000 sec this iteration (628)
0.000000 sec this iteration (627)
0.000000 sec this iteration (626)
0.000000 sec this iteration (625)
0.000000 sec this iteration (624)
0.000000 sec this iteration (623)
0.000000 sec this iteration (622)
0.000000 sec this iteration (621)
0.000000 sec this iteration (620)
0.000000 sec this iteration (619)
0.000000 sec this iteration (618)
0.000000 sec this iteration (617)
0.000000 sec this iteration (616)
0.000000 sec this iteration (615)
0.000000 sec this iteration (614)
0.000000 sec this iteration (613)
0.000000 sec this iteration (612)
0.000000 sec this iteration (611)
0.000000 sec this iteration (610)
0.000000 sec this iteration (609)
1.000000 sec this iteration (608)
0.000000 sec this iteration (607)
0.000000 sec this iteration (606)
0.000000 sec this iteration (605)
0.000000 sec this iteration (604)
0.000000 sec this iteration (603)
0.000000 sec this iteration (602)
0.000000 sec this iteration (601)
0.000000 sec this iteration (600)
0.000000 sec this iteration (599)
0.000000 sec this iteration (598)
0.000000 sec this iteration (597)
0.000000 sec this iteration (596)
0.000000 sec this iteration (595)
0.000000 sec this iteration (594)
0.000000 sec this iteration (593)
0.000000 sec this iteration (592)
0.000000 sec this iteration (591)
0.000000 sec this iteration (590)
0.000000 sec this iteration (589)
0.000000 sec this iteration (588)
0.000000 sec this iteration (587)
0.000000 sec this iteration (586)
0.000000 sec this iteration (585)
0.000000 sec this iteration (584)
0.000000 sec this iteration (583)
1.000000 sec this iteration (582)
0.000000 sec this iteration (581)
0.000000 sec this iteration (580)
0.000000 sec this iteration (579)
0.000000 sec this iteration (578)
0.000000 sec this iteration (577)
0.000000 sec this iteration (576)
0.000000 sec this iteration (575)
0.000000 sec this iteration (574)
0.000000 sec this iteration (573)
0.000000 sec this iteration (572)
0.000000 sec this iteration (571)
0.000000 sec this iteration (570)
0.000000 sec this iteration (569)
0.000000 sec this iteration (568)
0.000000 sec this iteration (567)
0.000000 sec this iteration (566)
0.000000 sec this iteration (565)
0.000000 sec this iteration (564)
0.000000 sec this iteration (563)
0.000000 sec this iteration (562)
0.000000 sec this iteration (561)
0.000000 sec this iteration (560)
0.000000 sec this iteration (559)
0.000000 sec this iteration (558)
0.000000 sec this iteration (557)
0.000000 sec this iteration (556)
1.000000 sec this iteration (555)
0.000000 sec this iteration (554)
0.000000 sec this iteration (553)
0.000000 sec this iteration (552)
0.000000 sec this iteration (551)
0.000000 sec this iteration (550)
0.000000 sec this iteration (549)
0.000000 sec this iteration (548)
0.000000 sec this iteration (547)
0.000000 sec this iteration (546)
0.000000 sec this iteration (545)
0.000000 sec this iteration (544)
0.000000 sec this iteration (543)
0.000000 sec this iteration (542)
0.000000 sec this iteration (541)
0.000000 sec this iteration (540)
0.000000 sec this iteration (539)
0.000000 sec this iteration (538)
0.000000 sec this iteration (537)
0.000000 sec this iteration (536)
0.000000 sec this iteration (535)
0.000000 sec this iteration (534)
0.000000 sec this iteration (533)
0.000000 sec this iteration (532)
0.000000 sec this iteration (531)
0.000000 sec this iteration (530)
0.000000 sec this iteration (529)
0.000000 sec this iteration (528)
1.000000 sec this iteration (527)
0.000000 sec this iteration (526)
0.000000 sec this iteration (525)
0.000000 sec this iteration (524)
0.000000 sec this iteration (523)
0.000000 sec this iteration (522)
0.000000 sec this iteration (521)
0.000000 sec this iteration (520)
0.000000 sec this iteration (519)
0.000000 sec this iteration (518)
0.000000 sec this iteration (517)
0.000000 sec this iteration (516)
0.000000 sec this iteration (515)
0.000000 sec this iteration (514)
0.000000 sec this iteration (513)
0.000000 sec this iteration (512)
0.000000 sec this iteration (511)
0.000000 sec this iteration (510)
0.000000 sec this iteration (509)
0.000000 sec this iteration (508)
0.000000 sec this iteration (507)
0.000000 sec this iteration (506)
0.000000 sec this iteration (505)
0.000000 sec this iteration (504)
0.000000 sec this iteration (503)
0.000000 sec this iteration (502)
0.000000 sec this iteration (501)
0.000000 sec this iteration (500)
0.000000 sec this iteration (499)
0.000000 sec this iteration (498)
1.000000 sec this iteration (497)
0.000000 sec this iteration (496)
0.000000 sec this iteration (495)
0.000000 sec this iteration (494)
0.000000 sec this iteration (493)
0.000000 sec this iteration (492)
0.000000 sec this iteration (491)
0.000000 sec this iteration (490)
0.000000 sec this iteration (489)
0.000000 sec this iteration (488)
0.000000 sec this iteration (487)
0.000000 sec this iteration (486)
0.000000 sec this iteration (485)
0.000000 sec this iteration (484)
0.000000 sec this iteration (483)
0.000000 sec this iteration (482)
0.000000 sec this iteration (481)
0.000000 sec this iteration (480)
0.000000 sec this iteration (479)
0.000000 sec this iteration (478)
0.000000 sec this iteration (477)
0.000000 sec this iteration (476)
0.000000 sec this iteration (475)
0.000000 sec this iteration (474)
0.000000 sec this iteration (473)
